,Actual size,Exposure,Maintenance fees,Age of building,Outdoor space,Locker,Property type:,Area:,Parking,Bed,Studio,Bath,Den
0,2536,9,2071.29,9,3,4,2,76,3,2,0,3,1
1,597,9,437.08,24,2,3,1,121,0,1,0,1,0
2,465,2,353,4,3,4,1,128,1,1,0,1,0
3,610,3,425.62,5,3,4,1,76,1,1,0,1,0
4,643,9,621.06,7,3,4,1,22,1,1,0,1,1
5,644,2,465.08,0,3,3,1,125,0,2,0,1,0
6,442,6,272.26,3,3,3,1,78,0,1,0,1,0
7,772,7,708.99,5,3,4,1,21,1,2,0,2,0
8,780,8,616,19,3,3,1,118,1,2,0,2,1
9,803,7,606.9,11,3,4,1,124,1,2,0,2,0
10,756,5,767,4,3,3,1,20,0,2,0,2,0
11,620,2,502.05,12,1,4,1,27,1,1,0,1,0
12,611,2,472.74,15,1,3,1,61,0,1,0,1,0
13,830,0,658,11,3,4,1,102,1,2,0,2,0
14,609,2,528.73,7,3,3,1,61,1,1,0,1,0
15,790,2,556.21,20,4,2,1,108,1,2,0,2,0
16,440,0,324.32,8,3,4,1,68,0,,1,1,0
17,520,0,415.68,1,3,4,1,19,0,1,0,1,1
18,679,2,406.24,10,3,4,1,118,0,1,0,1,1
19,782,2,580.11,23,2,4,1,99,0,1,0,1,0
20,667,6,516.64,0,3,4,1,125,0,2,0,2,1
21,1027,9,733.41,31,0,4,1,107,0,1,0,2,1
22,799,9,632.8,15,3,4,1,108,1,2,0,2,0
23,940,2,664.66,5,3,4,1,117,0,2,0,2,1
24,928,7,779.92,16,3,4,1,48,1,2,0,2,0
25,1009,8,731,30,2,4,1,35,1,2,0,2,1
26,636,9,453.66,4,3,4,1,92,1,1,0,2,1
27,1151,9,524.48,1,4,4,2,118,1,2,0,2,0
28,1147,9,524.48,1,4,4,2,118,1,2,0,2,0
29,1987,8,1610.25,1,3,4,1,81,1,2,0,3,1
30,701,6,706.65,30,2,4,1,129,0,1,0,1,1
31,794,7,786,17,3,4,1,118,2,1,0,1,1
32,1319,3,1247.6,29,2,4,0,49,0,2,0,2,0
33,540,2,306.55,12,3,3,1,22,0,1,0,1,0
34,820,6,635.1,1,4,3,1,44,0,2,0,2,0
35,730,8,556.51,3,3,2,1,76,1,2,0,2,0
36,973,7,634.95,16,3,3,1,104,0,2,0,2,0
37,590,0,354.38,12,3,4,1,108,0,1,0,1,0
38,609,0,562.11,1,3,4,1,61,0,1,0,1,0
39,688,5,444.67,0,3,3,1,108,0,1,0,1,1
40,846,2,921.6,21,3,4,1,81,1,2,0,1,0
41,554,5,325.92,2,3,3,1,61,0,1,0,1,0
42,1453,7,1004.65,25,2,4,1,118,1,3,0,2,1
43,828,3,822.83,9,3,2,1,124,0,1,0,2,1
44,1042,0,818,43,3,3,1,115,1,2,0,1,0
45,709,2,622.65,36,2,1,1,61,0,1,0,1,1
46,940,9,637.19,8,4,4,1,68,0,2,0,2,0
47,868,2,734.16,33,2,2,1,102,0,2,0,1,1
48,1608,8,1420.06,,3,4,1,27,2,2,0,3,1
49,782,8,528.75,6,3,4,1,61,0,2,0,2,1
50,1500,3,1201,19,3,4,0,118,1,3,0,3,1
51,1036,6,713.7,4,3,4,1,91,1,3,0,2,1
52,763,2,640.03,49,3,1,1,89,0,2,0,1,0
53,964,3,656,6,3,4,1,76,1,2,0,2,1
54,615,6,532.11,17,3,4,1,102,0,1,0,1,0
55,943,7,1274.38,28,1,4,1,126,1,2,0,2,0
56,1385,8,1002.36,19,4,1,2,76,1,3,0,2,0
57,750,3,611.9,19,3,3,1,22,0,1,0,1,1
58,1135,7,1046.07,17,3,4,1,106,0,2,0,2,0
59,660,8,526.01,3,3,4,1,76,0,1,0,1,1
60,748,5,613.94,0,3,4,1,127,2,2,0,2,0
61,613,0,403.39,1,0,4,1,40,0,1,0,2,1
62,931,5,699.36,17,3,4,1,118,1,2,0,2,0
63,769,7,632.55,9,3,4,1,76,0,2,0,2,0
64,712,0,593.06,3,4,4,0,110,0,2,0,1,0
65,903,9,619.08,10,3,4,1,12,0,2,0,2,0
66,410,0,377.08,6,3,4,1,5,0,,1,1,0
67,584,0,505.05,5,4,4,1,24,0,1,0,1,0
68,980,9,831.32,46,3,3,1,89,0,2,0,1,0
69,494,6,420.86,5,4,4,1,24,0,1,0,1,0
70,721,6,428.25,7,3,4,1,68,1,1,0,2,1
71,468,9,424.15,9,3,4,1,8,0,1,0,1,0
72,358,0,237.11,8,3,4,1,61,1,,1,1,0
73,635,7,538,2,4,4,1,128,1,2,0,2,0
74,848,6,608.12,17,2,4,1,121,0,2,0,2,0
75,908,6,645.06,5,3,4,1,117,1,2,0,2,0
76,848,5,664.1,3,4,4,1,30,0,1,0,1,1
77,545,0,305.72,2,4,3,1,61,0,1,0,1,0
78,583,6,453.5,0,3,3,1,43,1,1,0,1,1
79,1031,9,427.98,13,3,4,0,115,0,2,0,2,0
80,495,2,314.77,5,3,3,1,23,0,1,0,1,0
81,750,5,611.9,19,4,3,1,22,0,1,0,1,1
82,625,0,435.88,8,3,3,1,98,0,1,0,2,0
83,557,2,491.85,14,3,2,1,81,0,1,0,1,0
84,953,6,907.9,47,3,2,1,64,1,2,0,2,0
85,538,2,608.16,4,3,4,1,129,0,1,0,1,0
86,449,2,300,0,3,3,1,108,0,1,0,1,0
87,666,2,624.63,6,3,4,1,125,0,1,0,2,1
88,719,6,428.07,11,3,4,1,43,0,1,0,1,0
89,491,6,426.31,5,3,3,1,125,0,1,0,1,0
90,949,0,650.84,22,2,3,1,21,0,1,0,1,1
91,487,0,453.55,6,4,3,1,70,0,2,0,1,0
92,967,7,692.84,1,4,4,1,126,1,2,0,2,1
93,1573,8,713.08,24,2,4,1,105,0,3,0,2,0
94,1263,6,1065.96,24,3,2,1,102,1,2,0,2,1
95,575,6,549.39,0,3,4,1,45,0,1,0,1,0
96,585,9,425,1,3,4,1,108,1,1,0,2,1
97,1327,3,953.42,47,3,1,1,74,0,3,0,2,0
98,549,6,445.2,5,3,3,1,21,0,1,0,1,0
99,1160,8,911,46,3,1,1,38,1,2,0,1,1
100,990,8,852.42,10,4,4,1,92,1,2,0,2,1
101,718,0,604.05,9,3,4,1,8,0,1,0,1,1
102,1725,9,1613,45,3,1,1,74,0,3,0,3,0
103,1427,0,1693.89,20,3,4,1,95,1,2,0,2,0
104,877,9,599.94,29,2,3,1,121,0,2,0,2,0
105,568,3,454.65,5,3,4,1,91,0,1,0,1,0
106,1140,5,766.66,31,2,4,1,80,1,2,0,2,1
107,602,6,374.3,2,2,3,1,108,0,1,0,1,0
108,615,8,490.15,17,3,4,1,118,0,1,0,1,0
109,982,5,794,9,3,4,1,8,0,2,0,2,1
110,550,5,469.2,8,3,4,1,22,0,1,0,1,0
111,624,7,426.88,10,3,3,1,68,1,1,0,1,0
112,473,6,371.65,10,3,3,1,91,0,1,0,1,0
113,1272,8,1013.89,,3,4,1,47,1,3,0,3,0
114,1169,0,700.19,13,2,3,1,30,0,2,0,2,0
115,616,9,435.96,19,3,3,1,0,1,1,0,1,0
116,626,6,525.15,49,3,3,1,89,0,1,0,1,0
117,628,3,456.76,49,2,4,1,126,0,1,0,1,0
118,908,2,710.46,31,3,4,1,118,0,1,0,2,1
119,690,7,573.9,18,3,4,1,22,0,1,0,1,1
120,603,6,504.43,6,2,4,1,70,0,1,0,2,1
121,735,9,577.76,7,3,4,1,47,0,1,0,1,1
122,481,9,282.59,9,3,4,1,61,0,1,0,1,0
123,795,7,592.4,3,3,4,1,89,0,2,0,2,0
124,720,0,798.1,14,2,4,1,126,0,2,0,1,0
125,1145,3,1010.97,32,3,4,1,5,2,2,0,2,0
126,525,5,408.8,6,3,4,0,76,0,1,0,1,0
127,643,7,494.09,2,3,4,1,21,1,2,0,1,0
128,1240,1,831,28,3,2,1,80,0,2,0,2,0
129,1276,2,874.6,14,4,4,1,61,0,2,0,2,1
130,872,0,581.04,11,3,2,1,102,0,2,0,1,0
131,719,7,628.77,16,3,4,1,108,0,1,0,2,1
132,902,7,750.94,14,2,4,1,110,0,2,0,2,0
133,1350,6,730,50,3,1,1,97,0,3,0,2,0
134,1355,3,1252.96,37,3,2,1,21,2,2,0,2,0
135,577,6,470.04,6,3,4,1,99,0,1,0,1,1
136,1210,5,1087,4,3,4,1,61,1,2,0,2,0
137,844,7,535.03,7,3,4,1,30,0,2,0,2,0
138,990,0,1528.43,22,2,4,1,42,1,2,0,2,0
139,1299,5,855.73,29,2,3,1,113,2,2,0,2,1
140,930,0,868.01,18,0,4,1,37,1,2,0,2,1
141,610,6,499.57,11,3,4,1,92,1,1,0,1,1
142,990,6,878.54,17,4,4,1,76,0,2,0,2,1
143,980,2,974.83,44,3,3,1,111,0,3,0,2,0
144,510,7,508.03,1,3,4,1,19,1,1,0,1,0
145,530,0,448.03,16,3,4,1,102,0,1,0,1,0
146,615,6,568.38,5,3,4,1,7,0,1,0,1,0
147,783,9,584.92,7,3,4,1,39,1,2,0,2,0
148,794,6,528.87,21,4,4,2,61,0,2,0,1,0
149,670,2,466,3,2,4,1,102,0,1,0,1,1
150,1015,2,815,46,3,3,1,35,1,2,0,1,0
151,890,2,596.39,22,2,3,1,103,1,2,0,2,0
152,640,3,512,3,1,4,1,78,0,2,0,1,0
153,1007,8,799.02,9,3,4,1,121,1,2,0,2,0
154,466,9,339.73,2,3,3,1,81,0,1,0,1,0
155,721,2,659.88,7,4,4,1,57,0,1,0,1,1
156,750,3,776.52,16,3,4,1,76,1,2,0,2,0
157,2152,6,1274.2,18,4,1,1,78,1,1,0,2,1
158,810,3,579.56,16,3,4,1,57,1,1,0,1,0
159,930,9,936.79,15,2,2,1,31,1,2,0,1,1
160,382,9,263.14,1,3,3,0,7,0,,1,1,0
161,575,6,417.92,5,3,4,1,107,0,1,0,1,1
162,768,7,610.72,3,3,4,1,24,0,2,0,2,0
163,1280,6,1196.55,15,1,2,1,104,0,2,0,2,2
164,570,0,410.91,9,3,4,0,70,0,1,0,1,1
